MaxDepth,MinSamplesLeaf,Criterion,ClassWeight,ROC_AUC,PR_AUC
5,30,entropy,None,0.6972123515894609,0.2840119825995998
5,30,entropy,balanced,0.6949511919924801,0.28235020200215055
5,50,gini,None,0.7001714764319026,0.29096829380818495
5,50,gini,balanced,0.6962488291529758,0.2845711227199222
5,50,entropy,None,0.6971219052055817,0.28563566524313405
5,50,entropy,balanced,0.6948648755804676,0.28398221169163024
6,5,gini,None,0.7015069028349779,0.30727257445325284
6,5,gini,balanced,0.6953065760716037,0.29103913442312035
6,5,entropy,None,0.6988686768065737,0.2980122014844735
6,5,entropy,balanced,0.6945419117804971,0.2984958552014048
6,10,gini,None,0.7015248682125977,0.30858920831877845
6,10,gini,balanced,0.69616230624237,0.29103066945041045
6,10,entropy,None,0.6996626638979335,0.30181516472293035
6,10,entropy,balanced,0.6954988262619956,0.29839510348215037
6,20,gini,None,0.6991976290657508,0.2989880986880146
6,20,gini,balanced,0.6927166707140391,0.28997032798570826
6,20,entropy,None,0.6990852938309784,0.29415902259894905
6,20,entropy,balanced,0.6912032425235118,0.2862540068474002
6,30,gini,None,0.6976073833985044,0.2919386479507639
6,30,gini,balanced,0.6893955538374872,0.2791916231014063
6,30,entropy,None,0.6933789117028535,0.2902681637715538
6,30,entropy,balanced,0.687343370816958,0.28172152379297183
6,50,gini,None,0.6999067452352514,0.3020269906180711
6,50,gini,balanced,0.690898037602568,0.29515121619865897
6,50,entropy,None,0.6930970411229558,0.3000847331035023
6,50,entropy,balanced,0.6891409410719094,0.2955446800499715
8,5,gini,None,0.6744456751760606,0.2698030178945449
8,5,gini,balanced,0.6573610140567723,0.2712342677182654
8,5,entropy,None,0.6701787947420501,0.28064517437447983
8,5,entropy,balanced,0.6681780298712605,0.2750597169034327
8,10,gini,None,0.6795065427014311,0.281313564651226
8,10,gini,balanced,0.6550405893635054,0.2587876427553028
8,10,entropy,None,0.6654685618281568,0.27769207070676094
8,10,entropy,balanced,0.6637112587989051,0.2775754104662741
8,20,gini,None,0.6806218416040151,0.27990402890407723
8,20,gini,balanced,0.667028039204997,0.2723620996858833
8,20,entropy,None,0.6740950405645836,0.2827152452886647
8,20,entropy,balanced,0.6701372885247906,0.27424314586681875
